,Location,Latitude,Longitude,X,Y,Z
0,TressiderCircle,37.42432879999999,-122.17060500000001,-2700298.3309803493,-4292883.722665921,3854914.179919152
1,WhitePlazaClawTrees,37.424847,-122.169501,-2700197.004193354,-4292906.166672498,3854959.854085035
2,OldUnionArch,37.4250357,-122.16970049999999,-2700205.1752655264,-4292885.991185397,3854976.48603203
3,TheClaw,37.4249825,-122.1693957,-2700184.24857259,-4292903.392971253,3854971.7970082373
4,WhitePlazaRoundabout,37.425456700000005,-122.1692217,-2700154.1823966256,-4292884.518975375,3855013.592664446
5,CircleOfDeath,37.4260787,-122.16899369999999,-2700114.762483398,-4292859.750643377,3855068.414913002
6,BellTower,37.425987299999996,-122.16886629999999,-2700108.499416956,-4292870.97300367,3855060.3590673623
7,GreenLibrary,37.4270337,-122.16815079999999,-2700017.3129269397,-4292844.945271432,3855152.586461205
8,QuadArchByGreen,37.427215600000004,-122.1690188,-2700075.814367432,-4292793.65505874,3855168.618597167
9,PigottTower,37.4266133,-122.16919890000001,-2700110.9382893513,-4292819.557000024,3855115.5334830573
10,PigottUnderground,37.426424,-122.16921359999999,-2700118.8378893225,-4292829.672514959,3855098.848999324
11,PigottCorner,37.4264546,-122.1692307,-2700119.0201714686,-4292827.119528003,3855101.546018534
12,MemChu,37.4272813,-122.17033980000001,-2700172.427880446,-4292727.650290478,3855174.4091942688
13,MemChuHalf,37.427222,-122.17035790000001,-2700175.913682247,-4292730.183098142,3855169.1826738166
14,MemChuFront,37.427136,-122.17035759999999,-2700178.979817933,-4292735.10750139,3855161.602889845
15,QuadMiddle,37.427485,-122.17026409999998,-2700159.440548206,-4292719.587249624,3855192.3626575028
16,OvalTop,37.4291272,-122.1697149,-2700059.3146058507,-4292651.70270533,3855337.099125165
17,OvalMidTop,37.429767299999995,-122.16948159999998,-2700018.846283224,-4292626.147440937,3855393.5139459223
18,OvalMidBottom,37.4299231,-122.1694344,-2700009.7144208313,-4292619.47549415,3855407.245211262
