,Location,Latitude,Longitude,X,Y,Z
0,MemChu,37.4271626,-122.1703489,-2700177.373,-4292733.999,3855163.947
1,HalfToCircle1,37.4272245,-122.1703392,-2700174.423,-4292730.922,3855169.403
2,BottomCirle1,37.4272864,-122.1703294,-2700171.466,-4292727.849,3855174.859
3,MidCircle1,37.4273562,-122.1703056,-2700167.176,-4292724.986,3855181.011
4,TopCircle1,37.4274259,-122.1702818,-2700162.889,-4292722.128,3855187.154
5,QuadMiddle,37.4274895,-122.1702651,-2700159.354,-4292719.283,3855192.759
6,BottomCircle2,37.4275545,-122.170249,-2700155.813,-4292716.331,3855198.488
7,OvalSpin,37.4297673,-122.1694816,-2700018.846,-4292626.147,3855393.514
8,Oval,37.4297673,-122.1694816,-2700018.846,-4292626.147,3855393.514
9,QuadMiddleAbove,37.4274895,-122.1702651,-2700159.354,-4292719.283,3855192.759
10,QuadMiddlePocket,37.4274895,-122.1702651,-2700159.354,-4292719.283,3855192.759
